level,lambda,prop_RMSE,equal_RMSE,shrunk_RMSE,alpha_star,prop_gain,shrunk_gain
L10_item,0.25,1.988262928401803,2.013819591464973,1.863145768421421,3.698737110655781,-0.10373747534574052,-0.2288546353261225
L10_item,0.3,1.970891512480121,2.000560361157861,1.863145768421421,3.0822809255464843,-0.12110889126742252,-0.2288546353261225
L10_item,0.35,1.9547199996674884,1.988129500111435,1.863145768421421,2.6419550790398434,-0.13728040408005504,-0.2288546353261225
L10_item,0.4,1.93977840019384,1.9765418839055648,1.863145768421421,2.3117106941598626,-0.1522220035537034,-0.2288546353261225
L10_item,0.45,1.9260953372670058,1.9658080295815192,1.863145768421421,2.054853950364323,-0.1659050664805377,-0.2288546353261225
L10_item,0.5,1.913697806930198,1.9559360538846946,1.863145768421421,1.8493685553278905,-0.1783025968173455,-0.2288546353261225
L10_item,0.55,1.9026109391785324,1.9469356990108662,1.863145768421421,1.6812441412071726,-0.18938946456901107,-0.2288546353261225
L10_item,0.6,1.8928577646349465,1.938813858550219,1.863145768421421,1.541140462773242,-0.199142639112597,-0.2288546353261225
L10_item,0.65,1.8844589913342278,1.9315766296519996,1.863145768421421,1.4225911964060696,-0.2075414124133157,-0.2288546353261225
L10_item,0.7,1.877432796274382,1.9252243687131583,1.863145768421421,1.3209775395199217,-0.2145676074731615,-0.2288546353261225
L10_item,0.75,1.8717946363470257,1.9197557017683176,1.863145768421421,1.2329123702185936,-0.22020576740051778,-0.2288546353261225
L10_item,0.8,1.8675570830400243,1.9151704265384177,1.863145768421421,1.155855347079931,-0.22444332070751916,-0.2288546353261225
L10_item,0.85,1.864729684912281,1.9114637847777367,1.863145768421421,1.0878638560752296,-0.2272707188352625,-0.2288546353261225
L10_item,0.9,1.8633188612789184,1.908635020447588,1.863145768421421,1.0274269751821614,-0.22868154246862504,-0.2288546353261225
L10_item,0.95,1.8633278298321787,1.9066768458302719,1.863145768421421,0.9733518712252054,-0.22867257391536477,-0.2288546353261225
L10_item,1.0,1.8647565700865751,1.9055809750221346,1.863145768421421,0.9246842776639452,-0.22724383366096834,-0.2288546353261225
L11_item_state,0.0,2.0920004037475435,2.0920004037475435,2.0920004037475435,0.0,0.0,0.0
L11_item_state,0.05,2.047333571670974,2.0545817718927375,1.5765498474656092,19.94197056920183,-0.044666832076569296,-0.5154505562819343
L11_item_state,0.1,2.0040443370125853,2.0184408015838478,1.5765498474656092,9.970985284600912,-0.08795606673495815,-0.5154505562819343
L11_item_state,0.15,1.9622238767132152,1.9836470426182224,1.5765498474656092,6.647323523067277,-0.1297765270343283,-0.5154505562819343
L11_item_state,0.2,1.9219680711668194,1.950264888719003,1.5765498474656092,4.985492642300457,-0.17003233258072403,-0.5154505562819343
L11_item_state,0.25,1.883377253084472,1.9183705263773163,1.5765498474656092,3.988394113840365,-0.20862315066307158,-0.5154505562819343
L11_item_state,0.3,1.8465558141841685,1.8880321035005734,1.5765498474656092,3.3236617615336383,-0.245444589563375,-0.5154505562819343
L11_item_state,0.35,1.8116116468406647,1.8593093600503476,1.5765498474656092,2.8488529384574037,-0.2803887569068788,-0.5154505562819343
L11_item_state,0.4,1.7786553993537288,1.8322641789183358,1.5765498474656092,2.4927463211502285,-0.31334500439381463,-0.5154505562819343
L11_item_state,0.45,1.747799527103049,1.8069793329630892,1.5765498474656092,2.215774507689092,-0.3442008766444944,-0.5154505562819343
L11_item_state,0.5,1.719157128026159,1.783506763994323,1.5765498474656092,1.994197056920183,-0.3728432757213844,-0.5154505562819343
L11_item_state,0.55,1.6928405599331264,1.7619094607092416,1.5765498474656092,1.8129064153819845,-0.39915984381441705,-0.5154505562819343
L11_item_state,0.6,1.6689598492702848,1.742249781394495,1.5765498474656092,1.6618308807668192,-0.42304055447725863,-0.5154505562819343
L11_item_state,0.65,1.6476209158079789,1.7245790237264536,1.5765498474656092,1.5339977360924482,-0.4443794879395646,-0.5154505562819343
L11_item_state,0.7,1.62892365461049,1.7089216186565424,1.5765498474656092,1.4244264692287023,-0.46307674913705354,-0.5154505562819343
L11_item_state,0.75,1.612959934251718,1.695330779691243,1.5765498474656092,1.3294647046134553,-0.47904046949582546,-0.5154505562819343
L11_item_state,0.8,1.5998115867385947,1.6838284464613673,1.5765498474656092,1.2463731605751143,-0.4921888170089488,-0.5154505562819343
L11_item_state,0.85,1.5895484777869637,1.6744368593463048,1.5765498474656092,1.1730570923059902,-0.5024519259605797,-0.5154505562819343
L11_item_state,0.9,1.5822267536660755,1.667145212763914,1.5765498474656092,1.107887253844546,-0.509773650081468,-0.5154505562819343
L11_item_state,0.95,1.5778873608114625,1.661976303042318,1.5765498474656092,1.049577398379044,-0.514113042936081,-0.5154505562819343
L11_item_state,1.0,1.5765549255926603,1.658925548637198,1.5765498474656092,0.9970985284600915,-0.5154454781548832,-0.5154505562819343
